team_id_master,team,state,gender,age_group,component_id,component_size,degree
488d7c3d438a,Carteret Soccer Academy Dynamo 2015-16,NJ,M,U11,0,23630,17
426f544efc30,SFC 2015B Pre-EDP,MA,M,U11,0,23630,21
8a89927362be,ALBION SC San Diego B15 Academy I,CA,M,U11,0,23630,32
76b46e917edc,B2015 ES Iontchev #1,CA,M,U11,0,23630,30
7d0c00eee721,2015 Timbers Elite,ID,M,U11,0,23630,21
1c76463d8a3e,TFA-NE B2015 White,CA,M,U11,0,23630,21
1c8967c9e2eb,UC Premier 2015B Black,CA,M,U11,0,23630,20
84b4d3bebccf,PW Courage NCSL Red B15,VA,M,U11,0,23630,21
0337f42d4cce,PSG B2015,NY,M,U11,0,23630,14
53794673a89a,Mineola 2015 White,NY,M,U11,0,23630,22
4bcd497310ae,Dublin United 15B White,CA,M,U11,0,23630,22
85a1dca977b0,Detroit City FC West 15B Pre ECNL-RL,MI,M,U11,0,23630,17
641d3a240d10,NEFC Metro West Boys 2015 Northboro Red,MA,M,U11,0,23630,27
bc635b3d54c8,Cottleville United 2015B White,MO,M,U11,0,23630,21
c06db20d9441,ISW Academy 15 Sanchez Black,TX,M,U11,0,23630,38
75e00b95ac87,AC Marin Boys 2015 White,CA,M,U11,0,23630,27
9ec688beede1,Liverpool FC Dallas 15B Rojas,TX,M,U11,0,23630,37
a5aafbf51830,Upper Township SA Comets Green 2015,NJ,M,U11,0,23630,19
b3c877f1946f,Dallas Texans Pre ECNL B15 Mitchell,TX,M,U11,0,23630,26
e98b1aa87a2c,Eternal 11 Boys 2015,MD,M,U11,0,23630,19
1b2821a529ce,Elk Grove United SC 15B Premier WA,CA,M,U11,0,23630,21
325b92f1cda9,Sturgis FC 2015B,MI,M,U11,0,23630,21
5b0d978ddd70,BUSC 2015 Elite 4,CA,M,U11,0,23630,24
a8ddbfe7fb4f,Hi-Tempo Academy Boys 2015,NJ,M,U11,0,23630,19
b0842b4a5d37,Sporting Columbia 15B Navy,MO,M,U11,0,23630,20
776fc99ad41d,Strikers,NY,M,U11,0,23630,16
329d8293a3ee,Mercury Premier 2015 Boys White,OH,M,U11,0,23630,28
7c71a7a0a6cf,Baltimore 2015,MD,M,U11,0,23630,16
76c27408ca88,Woodstown Wild 2015,NJ,M,U11,0,23630,14
e10579efb2d9,NB B2015 White,CA,M,U11,0,23630,18
ab9e8c1e1d17,TFA-NE B2015 Red,CA,M,U11,0,23630,50
9294e52fc657,SEA DOGS,NY,M,U11,0,23630,14
f56d6ce6646d,North FC Chagrin 2015 Boys Blue,OH,M,U11,0,23630,19
d32d944f72ee,SP Soccer Academy 2015 Boys Blue 2,OH,M,U11,0,23630,25
be0d0da7fd1a,NBFC 2015 Boys Black,ID,M,U11,0,23630,21
5bd22d762eaa,MVSC Fusion 2015,CA,M,U11,0,23630,23
4fe3d5071314,B15 Blue,NY,M,U11,0,23630,30
d54da51641cb,ALBION SC San Diego B15 academy III,CA,M,U11,0,23630,24
7f485b8f1d6b,Stanford Strikers 15B Grey,CA,M,U11,0,23630,20
de9f083646fe,15B Hinds,AZ,M,U11,0,23630,21
3b26fbebe59a,Defiance,NY,M,U11,0,23630,16
04e431b6dedd,Michigan Jaguars GN 2015 Boys Green,MI,M,U11,0,23630,17
44702c59c1da,Northfields United 2015 Boys,MA,M,U11,0,23630,20
4545b649d1f0,ETX United SC 15B Rios,TX,M,U11,0,23630,31
8b90a0cead32,NEU 2015 Hawks,PA,M,U11,0,23630,26
1c4030a268c4,Benicia Arsenal 2015 Boys (Black),CA,M,U11,0,23630,46
205f2a873a16,2015 Boys Black - Mbappe,PA,M,U11,0,23630,19
ddcf5a163d49,Walnut Creek Surf 15B White,CA,M,U11,0,23630,39
0f557a0ada46,Burlingame SC 2015B Black,CA,M,U11,0,23630,24
1cd64bb98fd5,Revolution 2015B JP,CA,M,U11,0,23630,16
9a643807a1fe,Stanislaus United SC SUSC 2015B Blue,CA,M,U11,0,23630,18
390d3adbea40,2015 Boys Falcons Blue,PA,M,U11,0,23630,23
81e354c2c7c6,SLSG MO B 2015 Premier Blue,MO,M,U11,0,23630,26
